Uniprot	Histones	Absolute quantification accuracy	Length	Mass	Chromatome	Unique_razor_pept	Total_pept	Copy number Chromatome	protein_group
NaN		low	793	93.626	NaN	2	2	0	P0C221
NaN		high	455	50.647	NaN	14	14	0	Q9H0S4
NaN		high	1197	136.386	NaN	22	22	0	Q9P2M7
NaN		medium	769	84.568	NaN	4	4	0	Q5T3J3
NaN		low	948	102.875	NaN	1	1	0	Q9Y5I2
NaN		medium	1943	214.116	NaN	6	6	0	Q5T5P2
NaN		low	928	105.414	NaN	1	1	0	Q9BYX2
NaN		high	253	30.447	1545049.51349417	10	10	11728473.356373	Q9Y3A2
NaN		high	472	52.765	4371608.168175	8	8	17787660.6423309	Q96N66
NaN		medium	798	89.909	803330.678106667	5	5	1933352.59736429	Q14241
NaN		low	398	44.836	NaN	1	1	0	P61647
NaN		high	486	52.441	2666917.21508	15	15	10538841.4448009	P51608
NaN		low	924	102.743	761600.730483333	2	2	1582978.38898059	Q9Y2I9
NaN		low	118	13.133	567462.9577225	2	2	9235812.66275748	Q15370
NaN		high	1281	141.521	NaN	33	33	0	Q9UHF7
NaN		high	1972	213.574	1809706.34413167	49	49	1762466.22607889	Q12888
NaN		low	553	64.248	NaN	1	1	0	Q8TDD5
NaN		high	2871	331.774	3052915.7385	130	131	2042213.91234722	P15924
NaN		high	1475	153.938	988855.31699	32	32	1287538.83706467	P49790
NaN		high	802	89.985	582987.214841667	11	14	1396060.5902923	Q96PU4
NaN		medium	494	56.678	2406100.225275	5	9	9354193.94274241	Q08170
NaN		high	1237	129.529	1076007.74970083	16	16	1670572.41056366	Q8N1G0
NaN		low	188	21.008	336183.480490833	2	2	3434299.17072289	O75223
NaN		high	431	48.358	2563979.57197083	13	13	11425018.0716611	Q05048
NaN		high	677	74.891	4242383.141475	19	19	12034853.9650487	Q15061
NaN		high	2035	208.732	2000559.80078333	28	29	1888020.60396517	P51610
NaN		high	1087	121	911469.5242425	28	28	1610394.25773056	O00267
NaN		low	657	76.453	NaN	1	1	0	C9JQI7
NaN		medium	586	69.413	2808699.76976667	22	30	9205074.50081314	P15311
NaN		low	308	34.709	NaN	1	1	0	Q8NHC6
NaN		high	943	106.099	NaN	34	34	0	Q9UNX4
NaN		high	785	88.256	NaN	23	25	0	Q16666
NaN		low	592	67.305	NaN	1	1	0	Q7Z569
NaN		high	326	36.092	14111097.301425	14	14	83130959.1963678	Q15717
NaN		high	1341	151.862	6442374.84292833	38	38	9226496.41849444	Q9UKV3
NaN		high	602	70.963	605443.182278333	16	16	1931507.98098767	Q15326
NaN		high	1817	197.579	1764446.67972083	41	41	1864975.86837116	P52948
NaN		low	85	9.467	983365.706401667	1	1	22218551.2826783	Q9NQG1
NaN		high	1565	172.768	1388021.930425	12	12	1703340.96484049	O15061
NaN		low	930	99.686	NaN	1	1	0	Q9H3T2
NaN		medium	983	106.162	377498.681549167	6	7	737533.117891706	Q8NDX5
NaN		medium	103	11.801	8070160.84565833	7	7	150475075.929539	Q96FQ6
NaN		high	745	81.745	1436991.62465	22	26	3704397.38802653	P14923
NaN		high	895	100.228	5650598.48019167	40	40	12125258.8353638	Q13435
NaN		high	547	61.59	1244626.65031667	18	18	4369898.7527368	Q9NY93
NaN		high	394	44.761	1531744.936385	11	11	7466375.6532326	P61160
NaN		medium	97	11.203	28431518.2235083	3	3	562921611.439396	P60903
NaN		high	1074	117.012	2813407.07231667	20	20	5030925.64452359	Q96KR1
NaN		high	2146	241.645	1272300.6966375	32	32	1138622.21413592	P49750
NaN		low	484	53.246	10329678.419275	2	2	40988407.4680848	O75354
NaN		medium	114	12.615	NaN	4	4	0	O14548
NaN		high	550	64.735	NaN	14	14	0	P35610
NaN		low	1248	141.84	NaN	1	2	0	O14727
NaN		low	648	72.573	NaN	3	20	0	Q5T9A4
NaN		low	1732	195.894	NaN	1	1	0	Q7Z443
NaN		low	323	36.984	1708382.495335	3	15	10157859.3631431	P36873
NaN		high	308	36.034	12242369.1545833	15	16	76336871.9039801	Q9NZ01
NaN		high	709	78.366	3002321.817575	13	13	8132622.47227807	Q14444
NaN		low	663	74.079	NaN	1	1	0	Q9UM07
NaN		medium	694	75.492	4597986.09419333	23	35	12724120.9357963	P42166
NaN		high	749	84.919	1908549.65948	18	18	4893744.05714939	Q9Y3T9
NaN		high	2492	282.586	776984.146028333	46	46	598802.664962648	P46100
NaN		high	1651	178.674	1460449.72967833	17	17	1698866.07748275	O95785
NaN		medium	273	33.216	4193908.20363167	4	4	29503658.9063973	Q9NWB6
NaN		low	1483	166.782	NaN	2	2	0	Q6AHZ1
NaN		medium	606	69.744	NaN	4	4	0	Q9Y2D9
NaN		high	790	91.839	1408715.67671333	20	20	3424647.38499723	Q09161
NaN		high	306	33.67	123273484.72375	23	24	773691546.259785	P07910
NaN		high	205	22.783	4246564.6282	10	10	39783545.2559948	P04792
NaN		high	471	54.232	24895722.1513667	22	26	101513412.277352	Q15233
NaN		high	335	36.053	9957277.590775	15	15	57084133.4501	P04406
NaN		high	586	68.387	1681049.5486075	19	19	5509377.15061509	O95391
NaN		high	1031	117.362	2890207.62391667	35	36	5383813.19050607	Q7L014
NaN		high	876	100.666	2613641.87404167	32	32	5730091.78375767	Q9BXP5
NaN		high	957	108.805	4019947.455075	20	22	8067296.96086467	O75400
NaN		high	2804	316.051	807820.346454167	48	48	553294.538465758	Q6KC79
NaN		medium	440	50.567	7083243.83044167	3	3	30917126.3409137	Q4G148
NaN		low	3526	395.258	6848672.83333333	1	1	3730299.63100321	Q8IZQ1
NaN		medium	357	40.251	NaN	5	5	0	Q8NFJ5
NaN		medium	477	54.272	NaN	5	5	0	Q969S3
NaN		high	253	29.842	2044113.3619325	13	13	15516867.8372079	O75937
NaN		high	690	77.673	2613042.07638833	22	22	7273055.76396763	O15226
NaN		low	133	14.632	1609292.71879167	2	2	23238228.1114542	Q01628
NaN		high	933	98.981	768762.8905925	12	12	1582451.36931268	P06401
NaN		high	476	52.265	8841329.701675	9	9	35672228.2798955	P61619
NaN		low	200	22.972	NaN	1	1	0	Q16878
NaN		medium	98	11.006	1169731.61343333	4	4	22923438.2262622	P01040
NaN		high	3259	376.019	2275907.75442417	107	107	1341188.7449321	Q14789
NaN		high	579	65.536	3215814.050625	19	19	10666746.397439	Q9HCD5
NaN		high	261	29.717	1346001.18162583	9	9	9904317.1579735	Q14847
NaN		medium	257	29.267	NaN	3	3	0	Q9NW81
NaN		medium	209	24.034	28155703.7737417	6	9	258725780.871899	P26583
NaN		high	765	90.726	11328815.9718625	41	41	28440857.87371	P11387
NaN		high	355	38.434	28025944.123175	8	9	151618258.466855	Q14103
NaN		high	683	77.529	1056761.43768917	14	14	2971500.84788658	O43395
NaN		medium	553	60.598	NaN	6	6	0	Q14409
NaN		low	258	29.815	NaN	1	1	0	Q96K19
NaN		low	1940	223.905	NaN	1	2	0	P11055
NaN		low	311	34.283	NaN	1	1	0	Q96CQ1
NaN		high	1412	158.298	NaN	10	10	0	Q96RT1
NaN		high	250	28.764	1570627.06264083	9	9	12065704.1642022	Q9Y3A5
NaN		high	260	29.91	1200608.36948	10	10	8868447.99601518	Q8WXX5
NaN		high	2363	267.293	3682216.42856667	82	83	2992713.85911893	P12270
NaN		high	473	53.194	2535730.79289	17	17	10295835.829551	Q9NQ55
NaN		medium	306	32.749	3949432.6781	6	6	24787509.5152511	Q86U42
NaN		low	110	11.284	3982909.67716667	2	2	69538829.7458801	P81605
NaN		high	2430	268.843	NaN	16	16	0	Q5VWN6
NaN		low	2443	278.868	NaN	1	1	0	Q96JI7
NaN		medium	339	40.242	NaN	6	6	0	Q14320
NaN		high	206	22.977	15002679.4360667	12	12	139868917.761608	Q9NP72
NaN		high	609	69.843	5975935.48000833	32	32	18845523.7794803	P12956
NaN		high	429	47.461	3128242.761055	12	12	14004343.7121611	O96019
NaN		high	1034	117.148	3816217.23239583	30	30	7088137.84305058	Q9NWH9
NaN		medium	168	19.667	1180715.11981083	4	4	13497565.638617	P59998
NaN		high	135	14.716	NaN	8	8	0	P09382
NaN		high	614	69.148	19036200.6557417	28	37	59543109.0930049	P17844
NaN		high	771	87.978	NaN	27	27	0	Q9BVJ6
NaN		medium	1837	197.297	3645797.38245833	3	3	3811561.90446561	A7E2V4
NaN		medium	524	58.043	299310.147488333	5	5	1097007.91008859	Q13177
NaN		low	1816	204.476	NaN	1	1	0	O60333
NaN		high	582	63.837	3300540.34970917	25	25	10891348.8056529	Q86UE4
NaN		high	602	66.022	9879368.77553333	33	33	31517539.8709678	Q07065
NaN		high	531	57.221	21009998.9062833	15	18	75989067.2852474	P26599
NaN		medium	1912	218.005	4092232.63525583	49	71	4110475.19468034	Q14839
NaN		high	518	58.415	2095841.99405	21	21	7770489.59792529	Q8TED0
NaN		high	304	34.308	591331.504915	11	11	3735743.41392791	Q96MG7
NaN		high	925	106.374	1823539.8947	30	30	3786109.24921893	P57740
NaN		medium	240	27.872	6511149.87297583	7	7	52103398.9682551	Q01081
NaN		high	1214	132.879	4503619.79562833	32	41	7124635.29159922	Q8TAQ2
NaN		medium	953	107.473	2409095.232175	18	28	4854904.29021737	Q14151
NaN		high	301	32.944	1168613.57728	10	10	7456311.40056078	O43772
NaN		high	306	34.852	4594874.64673333	10	10	28838445.4959444	Q99848
NaN		high	282	31.484	1786566.18400417	8	8	12167170.8461284	Q9Y3B9
NaN		high	714	81.89	2144321.00039583	20	20	5767813.27488951	P07384
NaN		high	1726	199.073	1089191.187665	35	35	1211945.05972898	Q7KZ85
NaN		low	106	12.441	6511812.97135833	1	3	117981974.041014	P83881
NaN		high	335	38.037	4546763.07975	9	9	26066163.9734637	Q9H0U3
NaN		high	956	106.91	684684.31089	13	13	1375473.06174797	Q13111
NaN		medium	390	41.374	348965.848535	5	5	1718454.05423272	O43251
NaN		high	970	109.135	439159.0049625	11	11	869500.154048078	Q96H55
NaN		medium	1422	150.782	5944350.55721667	3	3	8028315.32918551	Q9ULM3
NaN		low	598	65.948	2540846.736975	1	1	8160126.48453752	Q14181
NaN		low	897	101.942	364585.310231667	1	1	780596.012240314	Q99708
NaN		low	1132	128.407	3831256.90105	1	1	6500016.40055869	Q9Y2H2
NaN		high	870	98.064	NaN	20	26	0	P50570
NaN		high	475	51.841	NaN	14	14	0	O43818
NaN		high	1135	128.229	NaN	16	17	0	Q9H9Y6
NaN		high	463	50.976	38357135.866875	25	25	159105350.637734	P61978
NaN		high	589	64.133	33658842.0649167	21	22	109749735.339447	P14866
NaN		high	297	34.363	9176914.57758333	15	15	59341681.0478537	P46777
NaN		high	437	51.557	15834674.237925	18	18	69590074.4902962	P08621
NaN		high	333	38.388	4371198.92299	22	22	25210179.7544211	P20042
NaN		high	309	35.594	943464.524100833	11	12	5863901.9558607	P67775
NaN		high	530	60.103	5147288.2812425	19	20	18651863.4687535	O75475
NaN		high	1174	133.897	940804.7387175	34	35	1539043.88779268	P30876
NaN		low	1505	164.187	428512.661405833	18	39	546822.988307521	P39880
NaN		high	1007	116.987	3112998.70899917	20	20	5937027.69979307	Q13523
NaN		medium	441	48.193	6630344.19138333	4	4	28874673.9935057	Q9NQ84
NaN		low	437	49.677	NaN	1	1	0	Q5VWJ9
NaN		high	445	51.402	1568414.50223333	16	16	6768936.55504159	Q9NV06
NaN		low	330	37.512	3146934.478285	3	16	18314428.2818697	P62136
NaN		medium	335	37.518	585383.913995	4	4	3355950.77684598	O95238
NaN		high	519	59.594	1640823.08337333	13	13	6071751.71889332	Q14554
NaN		low	486	55.739	465857.752601667	2	2	1840927.40589736	Q9UNF0
NaN		high	5795	616.629	NaN	20	21	0	Q8IVF2
NaN		high	225	25.486	7190093.54470833	6	8	61372190.9667825	P08579
NaN		high	746	83.63	2263918.85215	23	23	5828296.45075684	Q14137
NaN		low	371	42.013	NaN	1	1	0	Q9HC73
NaN		high	385	42.441	NaN	14	14	0	Q6RFH5
NaN		high	339	38.604	95679420.7711333	31	31	542048871.319533	P07355
NaN		high	372	38.747	111214383.31905	17	21	574166200.572273	P09651
NaN		medium	200	22.98	7889200.68482833	7	7	75756972.9786069	O15347
NaN		high	978	105.79	1880342.6703925	22	22	3692476.60118307	Q6UB35
NaN		medium	434	50.56	614791.8009975	4	4	2720557.70886905	Q7L4I2
NaN		low	428	48.991	5568879.43724	11	23	24988699.3520514	Q13838
NaN		high	360	39.649	937210.964724167	11	11	4999821.10329651	Q96EE3
NaN		high	812	89.099	1170173.77781583	25	25	2767667.65175004	Q96JM3
NaN		medium	526	60.088	776351.738630833	4	4	2834603.96934566	Q9BVK2
NaN		low	2120	233.175	NaN	2	2	0	Q14674
NaN		high	530	59.38	4871280.74199167	17	17	17651714.5248496	Q14498
NaN		high	175	19.979	15879648.18155	7	8	174269920.364565	O95994
NaN		medium	220	23.319	2177372.93233333	3	4	19007707.6694501	O15551
NaN		medium	382	42.924	423003.024269167	4	4	2126668.08980422	Q9NXS2
NaN		high	898	100.045	267757.832366667	9	9	572644.972247527	Q9ULV3
NaN		high	662	73.243	9029964.15045833	32	33	26196763.6494189	O00571
NaN		high	321	33.784	13036158.7087333	17	17	77994541.9539344	P22087
NaN		high	415	45.672	4186745.98529167	11	13	19375285.9601497	P52597
NaN		high	731	83.655	2119218.32991333	24	24	5567726.96576474	Q13823
NaN		high	298	34.259	1357786.84155833	10	10	8750541.6578029	P25311
NaN		high	380	39.83	542979.101404167	9	9	2744221.24999098	P50552
NaN		high	540	59.581	362504.807628333	9	9	1289257.35004962	Q9NUL7
NaN		medium	2969	332.79	2081331.91395667	4	4	1346327.60634406	Q9NR48
NaN		high	543	62.639	NaN	14	14	0	P31948
NaN		high	5207	591.407	NaN	31	32	0	Q63HN8
NaN		high	538	59.153	NaN	18	18	0	Q15291
NaN		low	963	105.059	NaN	1	1	0	P48200
NaN		low	4490	514.664	NaN	1	1	0	Q96JB1
NaN		high	859	96.332	2102870.48158333	27	27	4701527.34175192	Q9GZR7
NaN		medium	371	43.728	958526.405225	8	14	4961920.21468386	Q9NQ29
NaN		high	418	47.522	NaN	9	9	0	Q71F23
NaN		high	1042	117.805	1295886.96382917	30	30	2388465.69080117	P42285
NaN		low	617	69.332	3440893.37695333	1	1	10710399.1560384	P23975
NaN		low	166	19.171	NaN	1	2	0	Q8TD06
NaN		high	153	17.561	14174374.9304167	10	10	177922999.122733	O00422
NaN		high	315	36.112	4029569.46867833	20	20	24567880.9330702	P05198
NaN		low	454	50.67	17333120.0369833	11	23	73323045.7860978	P42167
NaN		high	397	41.924	7618466.06055	14	14	36855018.6702574	P42765
NaN		medium	140	14.865	18418336.9428333	6	6	252663194.705142	P62829
NaN		high	100	10.659	47580824.7394983	8	8	913800877.450601	P05114
NaN		high	307	34.93	30402264.7206583	14	14	190189775.541221	Q96AG4
NaN		high	594	66.05	8718541.44118333	27	27	28188826.4858101	O00567
NaN		high	401	44.962	3547510.78203083	16	16	16990218.2083884	Q96I25
NaN		medium	207	23.668	2660169.26721417	5	10	24680760.1465328	P61006
NaN		high	549	61.993	1862971.162635	21	22	6517085.11594586	Q9BVP2
NaN		low	937	104.553	1633654.9411325	18	37	3348423.21999046	P63010
NaN		medium	375	41.591	2026086.79914083	8	12	10376392.3386223	Q01085
NaN		high	638	69.811	2836355.9037575	24	24	8538068.8247901	P08240
NaN		high	670	75.407	4126459.59536667	24	24	11828301.8661943	Q9NVP1
NaN		high	435	49.967	2780008.54230917	16	16	12273727.5482837	P18031
NaN		medium	70	8.218	4667329.14829667	3	3	128053069.830273	P63173
NaN		high	955	108.666	10193390.4308833	32	33	20499104.651773	Q9Y2W1
NaN		high	543	59.367	860187.614664167	15	15	3042376.51995458	Q99832
NaN		high	759	85.738	1762733.264935	20	20	4460303.6885697	Q9NW13
NaN		high	706	80.225	331781.663836667	11	11	902541.71695215	Q9NVM9
NaN		medium	415	45.467	205996.029735	6	6	953301.680300786	Q99519
NaN		low	1857	209.308	1427920.37988167	1	2	1476766.0291604	Q2WGJ9
NaN		low	1523	161.854	589909.360683333	1	1	743883.609025474	Q8N3D4
NaN		high	696	81.88	NaN	20	20	0	O00461
NaN		high	758	85.863	NaN	13	13	0	Q12797
NaN		high	1278	142.167	NaN	12	12	0	O15118
NaN		medium	1419	157.578	NaN	5	5	0	Q68DA7
NaN		low	587	64.609	NaN	1	1	0	Q05932
NaN		high	1447	164.667	NaN	40	45	0	Q9NTI5
NaN		high	639	68.33	NaN	14	14	0	Q15637
NaN		high	501	58.849	NaN	14	14	0	Q12874
NaN		high	1995	227.871	NaN	33	43	0	Q7Z406
NaN		low	318	35.771	NaN	1	1	0	Q8NGN0
NaN		high	227	26.227	4973268.14725833	11	11	42076114.0856242	O43809
NaN		high	689	73.525	838306.421066667	17	17	2336701.16953317	O15231
NaN		medium	488	55.364	2268956.4111625	8	14	8929475.20957733	Q92769
NaN		medium	496	56.806	1146064.7912475	9	13	4437589.23415833	P30419
NaN		high	875	100.888	2232673.21829167	28	28	4900458.49257357	Q13206
NaN	+	medium	128	13.509	63199452.50725	3	5	948250218.702026	Q71UI9
NaN		medium	147	15.998	1729913.62905833	3	4	22600949.8002668	P68871
NaN		high	501	57.136	NaN	17	17	0	P14868
NaN		low	1366	150.275	NaN	1	1	0	Q9Y2G9
NaN		high	972	109.436	4360335.949625	39	40	8615357.267058	Q15029
NaN		medium	3477	409.8	NaN	4	4	0	Q8IZT6
NaN		medium	89	10.366	6382391.57141667	2	4	137725083.371884	P63167
NaN		high	305	30.841	16370363.3119667	10	10	103080871.996892	Q13151
NaN		high	179	20.625	3948460.05043333	8	8	42363742.7791312	P67812
NaN		high	633	69.224	2308318.9961075	22	22	7003444.97331814	O76031
NaN		high	406	42.429	941280.765708333	8	10	4452590.50553682	Q06587
NaN		medium	159	17.394	6127506.13618333	3	3	74012697.9562737	P09234
NaN		high	747	85.653	NaN	24	24	0	Q9ULW0
NaN		high	739	83.055	NaN	11	11	0	Q15022
NaN		high	793	88.886	4300712.21038167	28	28	10415660.1218345	Q15459
NaN		medium	1054	122.605	1386191.22231083	27	44	2525818.49353562	P28370
NaN		high	1197	135.656	1883262.53105833	32	32	3021595.46927119	O95347
NaN		high	885	100.831	1470903.89496333	31	31	3191983.46110548	Q01780
NaN	+	low	213	21.365	85383152.6958333	3	12	769860767.654859	P16403
NaN		high	1190	132.946	NaN	11	11	0	Q7Z5K2
NaN		high	165	18.898	12983750.8295	10	11	151124832.777664	P46783
NaN		high	1025	115.73	3303726.994225	39	39	6190131.73685823	Q9H0A0
NaN		medium	915	102.642	5516984.101825	19	29	11579778.2690503	Q15424
NaN		medium	76	8.496	9236085.23824167	4	4	233396288.29144	P62308
NaN		medium	80	9.128	1124509.73225833	3	3	26995590.8095678	P62312
NaN		medium	525	56.594	NaN	5	5	0	Q15742
NaN		high	1337	150.83	NaN	34	39	0	Q29RF7
NaN		high	1045	114.989	NaN	17	17	0	Q6PJG2
NaN		medium	641	73.004	3675938.69519583	5	5	11013613.5962592	O60476
NaN		medium	102	11.845	842084.7430525	3	3	15855328.0551955	P62310
NaN		medium	1474	163.291	280693.769754167	4	4	365725.207362249	P01023
NaN		low	360	40.085	829127.838591667	1	1	4423220.62028085	Q96HE9
NaN		low	1444	165.202	NaN	1	1	0	Q5VXU9
NaN		high	2136	244.508	5738097.977805	86	86	5159246.95277026	O75643
NaN		high	1508	168.589	NaN	19	19	0	Q8TEQ6
NaN		high	194	22.127	11392954.5161667	8	8	112785751.799801	P62081
NaN		low	1036	113.738	NaN	1	1	0	Q9NZV1
NaN		high	362	41.807	615201.949075833	10	10	3263839.07357702	Q9BRK5
NaN		medium	243	26.21	7417798.71701167	6	6	58625745.1907357	Q9BVC6
NaN		high	808	89.035	NaN	26	26	0	Q12788
